iteration,n_agents,c0,m0,s0,mx0,mn0
346,50,15,0.397629,0.216843,0.77454,0.0276528
347,50,15,0.397595,0.216842,0.774402,0.027679
348,50,14,0.398752,0.224404,0.774264,0.0277074
349,50,15,0.397526,0.21684,0.774126,0.027738
350,50,14,0.398665,0.224403,0.773988,0.0277699
351,50,15,0.397458,0.216836,0.77385,0.0278033
352,50,14,0.398579,0.2244,0.773711,0.0278388
353,50,15,0.397391,0.216832,0.773572,0.0278762
354,50,14,0.398493,0.224396,0.773433,0.0279154
355,50,15,0.397324,0.216826,0.773294,0.0279562
356,50,14,0.398407,0.224392,0.773154,0.0279991
357,50,15,0.397257,0.21682,0.773015,0.0280436
358,50,15,0.397223,0.216817,0.772876,0.0280894
359,50,14,0.398279,0.224383,0.772736,0.028137
360,50,15,0.397157,0.216809,0.772596,0.0281859
361,50,14,0.398194,0.224376,0.772455,0.0282361
362,50,15,0.397091,0.2168,0.772315,0.0282882
363,50,14,0.39811,0.224368,0.772174,0.0283416
364,50,15,0.397026,0.216791,0.772034,0.0283967
365,50,14,0.398026,0.224359,0.771893,0.0284532
366,50,15,0.396961,0.216781,0.771752,0.0285117
367,50,15,0.396928,0.216775,0.77161,0.0285714
368,50,14,0.3979,0.224344,0.771469,0.0286332
369,50,15,0.396864,0.216764,0.771327,0.0286969
370,50,14,0.397816,0.224333,0.771186,0.0287618
371,50,15,0.3968,0.216752,0.771044,0.0288279
372,50,14,0.397733,0.224322,0.770902,0.0288955
373,50,15,0.396736,0.216739,0.77076,0.0289649
374,50,14,0.397651,0.224309,0.770618,0.0290355
375,50,15,0.396673,0.216725,0.770476,0.0291073
376,50,14,0.397569,0.224296,0.770334,0.0291802
377,50,15,0.396611,0.216711,0.770191,0.0292545
378,50,14,0.397487,0.224282,0.770048,0.0293297
379,50,15,0.396549,0.216696,0.769905,0.0294061
380,50,14,0.397405,0.224268,0.769761,0.0294837
381,50,15,0.396487,0.216681,0.769618,0.0295624
382,50,14,0.397324,0.224252,0.769473,0.0296421
383,50,15,0.396425,0.216665,0.769329,0.029723
384,50,14,0.397243,0.224236,0.769184,0.0298054
385,50,15,0.396364,0.216648,0.769039,0.0298888
386,50,14,0.397162,0.22422,0.768894,0.0299738
387,50,15,0.396302,0.21663,0.768749,0.0300601
388,50,14,0.397082,0.224202,0.768603,0.0301478
389,50,15,0.396242,0.216612,0.768457,0.0302367
390,50,14,0.397002,0.224184,0.768311,0.0303271
391,50,15,0.396181,0.216593,0.768166,0.0304191
392,50,14,0.396922,0.224165,0.76802,0.030512
393,50,15,0.396121,0.216574,0.767874,0.0306063
394,50,14,0.396842,0.224146,0.767728,0.0307023
395,50,15,0.396061,0.216554,0.767581,0.0307999
396,50,14,0.396763,0.224126,0.767434,0.0308988
397,50,15,0.396002,0.216533,0.767288,0.0309988
398,50,14,0.396683,0.224105,0.76714,0.0311
399,50,15,0.395942,0.216511,0.766993,0.0312027
400,50,14,0.396604,0.224083,0.766844,0.0313066
401,50,15,0.395883,0.216489,0.766696,0.0314114
402,50,14,0.396525,0.22406,0.766547,0.0315177
403,50,15,0.395824,0.216466,0.766397,0.0316249
404,50,14,0.396447,0.224037,0.766247,0.0317332
405,50,15,0.395766,0.216442,0.766097,0.0318422
406,50,14,0.396368,0.224013,0.765947,0.0319522
407,50,15,0.395707,0.216418,0.765796,0.0320635
408,50,14,0.39629,0.223988,0.765645,0.0321759
409,50,15,0.39565,0.216393,0.765494,0.0322894
410,50,14,0.396213,0.223963,0.765343,0.0324039
411,50,14,0.396174,0.22395,0.765191,0.0325193
412,50,15,0.395563,0.216354,0.76504,0.0326355
413,50,14,0.396096,0.223924,0.764888,0.0327526
414,50,15,0.395505,0.216328,0.764735,0.0328707
415,50,14,0.396019,0.223897,0.764583,0.0329902
416,50,15,0.395448,0.216301,0.76443,0.0331108
417,50,14,0.395942,0.22387,0.764277,0.0332328
418,50,15,0.395392,0.216274,0.764124,0.033356
419,50,14,0.395865,0.223842,0.763971,0.0334803
420,50,15,0.395335,0.216246,0.763817,0.0336052
421,50,15,0.395307,0.216231,0.763662,0.0337309
422,50,14,0.395751,0.223799,0.763508,0.0338576
423,50,15,0.395251,0.216203,0.763354,0.0339854
424,50,15,0.395223,0.216188,0.763199,0.0341142
425,50,14,0.395637,0.223755,0.763044,0.0342439
426,50,15,0.395167,0.216159,0.762889,0.0343741
427,50,15,0.39514,0.216145,0.762733,0.034505
428,50,14,0.395523,0.22371,0.762578,0.0346365
429,50,15,0.395084,0.216115,0.762422,0.0347691
430,50,14,0.395448,0.22368,0.762267,0.0349023
431,50,15,0.395029,0.216086,0.762111,0.0350366
432,50,14,0.395372,0.22365,0.761955,0.0351716
433,50,15,0.394974,0.216055,0.761798,0.0353076
434,50,15,0.394947,0.21604,0.761642,0.0354445
435,50,14,0.395259,0.223603,0.761485,0.035582
436,50,15,0.394893,0.21601,0.761328,0.0357202
437,50,14,0.395185,0.223572,0.76117,0.0358592
438,50,15,0.394839,0.215979,0.761013,0.035999
439,50,14,0.39511,0.22354,0.760855,0.0361394
440,50,15,0.394785,0.215947,0.760697,0.0362805
441,50,15,0.394759,0.215932,0.76054,0.0364221
442,50,14,0.394999,0.223492,0.760382,0.0365645
443,50,15,0.394706,0.2159,0.760224,0.0367073
444,50,14,0.394925,0.22346,0.760066,0.0368506
445,50,15,0.394653,0.215869,0.759908,0.0369944
446,50,14,0.394852,0.223427,0.75975,0.0371392
447,50,15,0.3946,0.215836,0.759591,0.0372846
448,50,15,0.394574,0.21582,0.759433,0.0374306
